Viserion.A1ModJulian,Viserion.EarthMJ2000Eq.X,Viserion.EarthMJ2000Eq.Y,Viserion.EarthMJ2000Eq.Z,Viserion.EarthMJ2000Eq.VX,Viserion.EarthMJ2000Eq.VY,Viserion.EarthMJ2000Eq.VZ
21545.00000039794,-3435.507277,-5950.473153,0,3.298064079681541,-1.904138184,6.596128159363082
21545.00069484238,-3230.163004,-6051.46228,395.4747418538928,3.54421752679396,-1.460924316,6.581483009048785
21545.00171886356,-2901.546094,-6151.390518,974.928965196938,3.878248370688574,-0.796162474,6.506620445675119
21545.0027883192,-2528.592711,-6192.547129,1569.961571327744,4.187176616202578,-0.09389961,6.361433831368731
21545.00386301161,-2127.088418,-6168.440048,2151.254486474753,4.453301408161762,0.6126686064559878,6.148130455576039
21545.00493843342,-1702.752213,-6078.893248,2710.060442695684,4.67232279153661,1.313067699936737,5.869344875908002
21545.00601412043,-1260.243287,-5924.820002,3240.166533726987,4.841770619660292,1.999531991569794,5.528113358548005
21545.00708990846,-804.3200379,-5707.862796,3735.84422389338,4.959817820549314,2.664656774189123,5.128127606512215
21545.00816568436,-339.8690247,-5430.355895,4191.773829583863,5.025221162945673,3.301320076391081,4.673713414838332
21545.00924144345,128.1793691103934,-5095.263134,4603.117384531149,5.037319047847125,3.902789350140369,4.169734488863303
21545.01031715547,594.8486714140754,-4706.167024,4965.506087823858,4.99601637965199,4.462707759177907,3.621581338275343
21545.01139280215,1055.185789363684,-4267.219049,5275.101646789634,4.90178346022697,4.975180518919295,3.035094358318911
21545.01246836791,1504.309571831525,-3783.095599,5528.631118217564,4.75564560485548,5.434826695608831,2.41650292231714
21545.01354383541,1937.460278774725,-3258.949045,5723.418861776403,4.559169314791004,5.836828583791241,1.772361374890462
21545.014619174,2350.045253145379,-2700.359021,5857.412926533914,4.31444675592271,6.176974266443601,1.109488373107552
21545.01569437037,2737.699118197648,-2113.257684,5929.210611671727,4.024066490991431,6.451707920004203,0.4348788357275629
21545.01676941343,3096.322397375053,-1503.873517,5938.067691796518,3.691087717722272,6.658155399266313,-0.244357391
21545.0178442668,3422.115821869339,-878.6821089,5883.907203972042,3.319019228555448,6.794148233309607,-0.921048407
21545.01891891236,3711.635131631685,-244.3137239,5767.321402256235,2.911772085549587,6.858254759741517,-1.588058806
21545.01999331588,3961.816948314126,392.49688359182,5589.566957,2.473633109373872,6.849791148219018,-2.238339493
21545.02106748975,4170.025255262005,1025.018305050426,5352.5409524028,2.009197571576996,6.768829467920066,-2.865036169
21545.02214140932,4334.059164720915,1646.543698710029,5058.773989345176,1.523358088044355,6.616199790784531,-3.461508252
21545.0232150714,4452.189447939567,2250.495772651717,4711.393650284088,1.021232518931107,6.393484731195049,-4.021432752
21545.02428846752,4523.171835430762,2830.480590936681,4314.097522798974,0.5081241248996052,6.103009647038697,-4.538855933
21545.02536162014,4546.262200020828,3380.374234303728,3871.100476533497,-0.010549857,5.747812668673643,-5.008274791
21545.02643452494,4521.2211293801,3894.356619425906,3387.111889910984,-0.52928705,5.331633369490596,-5.4246708
21545.02750721113,4448.317995928001,4367.003754310139,2867.261338827045,-1.042587275,4.858857542073564,-5.783593228
21545.02857969378,4328.328028048588,4793.321437923276,2317.064625127391,-1.544989171,4.334490397600097,-6.081191025
21545.02965198719,4162.52569431026,5168.80640948559,1742.36041330535,-2.031137304,3.764101803244882,-6.314266087
21545.03072413079,3952.66636119421,5489.502456456215,1149.233649403257,-2.495853734,3.15375233605342,-6.480316482
21545.03179617134,3700.967629491057,5752.032674611263,543.9592040103483,-2.934187138,2.509934319998386,-6.577558958
21545.03286814184,3410.091041305066,5953.630115541209,-67.05253721,-3.341460276,1.839513183895102,-6.604949225
21545.03394007831,3083.111160482829,6092.172892433887,-677.3328842,-3.713330795,1.149641570445212,-6.562198472
21545.03501201881,2723.482703610974,6166.20577196362,-1280.423232,-4.04583975,0.4476788385294151,-6.4497761
21545.03608401433,2334.999344546683,6174.954389524185,-1869.949508,-4.335458129,-0.258899503,-6.268900639
21545.0371560874,1921.768212586908,6118.332298087905,-2439.666879,-4.579113983,-0.962558783,-6.021530759
21545.03822828043,1488.149213607325,5996.942663654297,-2983.552478,-4.774238585,-1.655821096,-5.710333468
21545.03930063565,1038.715363924089,5812.068850220691,-3495.85699,-4.918785336,-2.331334259,-5.338652245
21545.0403731826,578.2101183282956,5565.6630206989,-3971.158984,-5.011247752,-2.98194338,-4.91047152
21545.04144594968,111.4930202795651,5260.324363368023,-4404.427699,-5.050674826,-3.600774327,-4.430366776
21545.04251893572,-356.4988311,4899.281185914888,-4791.06548,-5.036678026,-4.181289833,-3.903465903
21545.04359216631,-820.8270746,4486.340122601306,-5126.978111,-4.969433117,-4.717388087,-3.335365743
21545.04466565723,-1276.587692,4025.855348157855,-5408.601592,-4.849672099,-5.203441141,-2.732086185
21545.04573939898,-1718.955794,3522.69222952096,-5632.937787,-4.678676678,-5.63434474,-2.100016601
21545.04681340312,-2143.255412,2982.156533820093,-5797.597493,-4.458256887,-6.005587475,-1.44582312
21545.04788764338,-2544.984626,2409.967494267884,-5900.814773,-4.190741122,-6.313271194,-0.776415482
21545.04896212648,-2919.890353,1812.162895980284,-5941.476393,-3.878936856,-6.55417173,-0.098834763
21545.0500368288,-3263.988939,1195.069362913316,-5919.126859,-3.526116919,-6.725750177,0.5797774716489362
21545.05111173335,-3573.622164,565.2172477281572,-5833.978165,-3.135978457,-6.8261888,1.252272461875925
21545.05218681366,-3845.490987,-70.71849837,-5686.908806,-2.712612081,-6.854407107,1.911554972023967
21545.05326205547,-4076.696569,-706.0008499,-5479.453241,-2.260454177,-6.810075553,2.550667173437398
21545.05433743228,-4264.765313,-1333.887146,-5213.790115,-1.784253498,-6.69362085,3.162843797429278
21545.05541292508,-4407.680505,-1947.711785,-4892.717426,-1.289016982,-6.506225411,3.741593277285288
21545.05648851362,-4503.902623,-2540.951834,-4519.625591,-0.779963767,-6.249819802,4.280760485189607
21545.05756417235,-4552.38712,-3107.294701,-4098.464864,-0.262474758,-5.927069737,4.774591332594227
21545.05863988825,-4552.597739,-3640.715543,-3633.697555,0.2579713590846257,-5.541348184,5.217804664960551
21545.05971564248,-4504.512093,-4135.532496,-3130.257962,0.7758470714029009,-5.096709327,5.605643197628098
21545.06079142516,-4408.622939,-4586.475626,-2593.49386,1.285642570918152,-4.597844168,5.933934726399952
21545.0618671655,-4265.942937,-4988.718434,-2029.145845,1.781894207586823,-4.050068497,6.199124501534611
21545.06294281844,-4077.990616,-5337.972193,-1443.243702,2.259288816988704,-3.459230297,6.398350907161462
21545.0640183068,-3846.782266,-5630.514147,-842.0693312,2.712699847537603,-2.831674354,6.529468838005346
21545.06509366003,-3574.778173,-5863.26449,-232.008753,3.13730462926331,-2.17408811,6.591090858229136
21545.06616892222,-3264.86402,-6033.778375,380.469117211561,3.528593203017337,-1.49347114,6.582573813221971
21545.06724415077,-2920.318457,-6140.267009,988.8797797686163,3.882415336722044,-0.797057853,6.504021752780347
21545.0683194122,-2544.77834,-6181.611917,1586.787975165257,4.195022017510457,-0.092240453,6.356280764896643
21545.06939477156,-2142.203998,-6157.37384,2167.867784551658,4.463100933279916,0.613504258123364,6.140928121714055
21545.07047027668,-1716.845052,-6067.799029,2725.959617252455,4.683808101289843,1.312684859914319,5.860258415988209
21545.07154596853,-1273.193848,-5913.81961,3255.14056343197,4.854801725697483,1.997882572860761,5.517257895979709
21545.07262178002,-815.9827899,-5697.068705,3749.7419280817,4.974257709043932,2.661769300859441,5.115611794274934
21545.07369757764,-350.1207241,-5419.881067,4204.445321784852,5.040914378204502,3.297223430433311,4.659669904784233
21545.07477334776,119.4428663951802,-5085.220496,4614.422716051162,5.05409732186061,3.897520649475293,4.154316661920111
21545.07584907521,587.7218129916693,-4696.660727,4975.325945218475,5.01370064281913,4.456325377801317,3.604950258062739
21545.07692473695,1049.74372890508,-4258.348945,5283.330583194057,4.920184932723124,4.967751938725634,3.017425794987951
21545.07800031888,1500.610051780241,-3774.954144,5535.180859712298,4.774567694672173,5.426430993969846,2.397982479344752
21545.07907578782,1935.536096007189,-3251.628813,5728.216286178334,4.578412925634392,5.827549214315676,1.753192941668415
21545.08015113999,2349.921120649132,-2693.930946,5860.408448897606,4.333804542123352,6.166913942628532,1.089866459089535
21545.0812263409,2739.372322798803,-2107.794026,5930.370788066146,4.043334326862779,6.440970309075515,0.4150155095498729
21545.08230137438,3099.770135002422,-1499.439836,5937.380113683108,3.710065019210318,6.646851796077781,-0.264244189
21545.08337620863,3427.298966175484,-875.3309347,5881.381078694149,3.337508178424273,6.782398696886955,-0.940743428
21545.08445083567,3718.499669255948,-242.0802161,5762.985558577856,2.929576738292314,6.84618585318159,-1.607355281
21545.08552523611,3970.294155751284,393.5983961325576,5583.466304525937,2.490558230020915,6.837531740474393,-2.257043601
21545.08659939696,4180.02309150378,1024.970577797583,5344.74271487539,2.025067208555352,6.756509816263459,-2.882944614
21545.08767329813,4345.471234933064,1645.344553753457,5049.363543103213,1.538005990678813,6.603951816671829,-3.478429023
21545.08874693391,4464.894836316184,2248.154151242899,4700.475054091912,1.034506843111736,6.381441194027086,-4.037183201
21545.08982031034,4537.037639731537,2827.025831765485,4301.786108127305,0.5198808521273885,6.091298299453798,-4.55327314
21545.09089343399,4561.142409122284,3375.839194122919,3857.532227649066,-0.000431045,5.736562385062804,-5.02120233
21545.09196631873,4536.959465780612,3888.795032186474,3372.428549381477,-0.52091777,5.320962396523464,-5.43597586
21545.09303898645,4464.74863682153,4360.476338135181,2851.619065283996,-1.036056955,4.848880214190065,-5.793156582
21545.09411144005,4345.279308693286,4785.894549932961,2300.635917960472,-1.540361926,4.325319980669347,-6.088908796
21545.0951837334,4179.814947197895,5160.570467020165,1725.305103750133,-2.028475105,3.755822837175892,-6.320063503
21545.09625587436,3970.110649385822,5480.54364705272,1131.734241147441,-2.495182624,3.146455342358645,-6.484130305
21545.097327905,3718.384014387541,5742.444342216068,526.2056959560921,-2.93551028,2.503702870094584,-6.57934766
21545.09839986229,3427.296661054483,5943.51428295683,-84.86960929,-3.34476175,1.834417767346046,-6.604694704
21545.09947179678,3099.921110187492,6081.639389076543,-695.0307062,-3.718578989,1.145731312329967,-6.559904466
21545.10054373852,2739.718083714874,6155.366711609944,-1297.815718,-4.052979046,0.4449950031738512,-6.445467478
21545.10161573553,2350.488238838519,6163.924767117453,-1886.852169,-4.344411984,-0.260326944,-6.262624112
21545.10268783687,1936.336119944469,6107.227028587404,-2455.914273,-4.589792309,-0.962730773,-6.013347331
21545.10376005097,1501.643958574438,5985.877624120561,-2998.967442,-4.786524222,-1.654729706,-5.700330785
21545.1048324215,1050.99600751619,5801.160641003813,-3510.272309,-4.932545498,-2.328986304,-5.326938163
21545.10590497724,589.1491650684108,5555.027895251382,-3984.418239,-5.026335062,-2.978359197,-4.89717333
21545.1069777555,120.9734169164237,5250.074083937487,-4416.390835,-5.066929148,-3.595993197,-4.415625176
21545.10805076547,-348.5832384,4889.519359782415,-4801.609366,-5.053926263,-4.175369192,-3.887430996
21545.10912402436,-814.5621288,4477.166813910243,-5135.990349,-4.987490576,-4.710392013,-3.318204116
21545.11019753855,-1272.037601,4017.368155735701,-5415.982973,-4.868346174,-5.195440428,-2.713981079
21545.11127130189,-1716.167983,3514.980597971549,-5638.607619,-4.697768302,-5.625422673,-2.08115942
21545.11234530877,-2142.25197,2975.310896379096,-5801.491188,-4.477566608,-5.995831687,-1.426423706
21545.11341957315,-2545.784422,2404.048927606226,-5902.892302,-4.210058617,-6.302791457,-0.756664745
21545.11449406665,-2922.479694,1807.240988502936,-5941.712842,-3.898059702,-6.543074439,-0.078948855
21545.11556876859,-3268.337028,1191.202354600461,-5917.518955,-3.544845135,-6.714150842,0.5995826215903987
21545.11664367439,-3579.683865,562.4453085561454,-5830.542593,-3.154112402,-6.814210722,1.271789543739285
21545.11771874979,-3853.200854,-72.36221882,-5681.682559,-2.729961206,-6.842176968,1.930574726597848
21545.11879398997,-4085.974131,-706.5007276,-5472.491149,-2.276832431,-6.797722927,2.568991136291835
21545.11986936148,-4275.511854,-1333.235597,-5205.166762,-1.79948792,-6.681276706,3.18027635040431
21545.1209448366,-4419.781078,-1945.908682,-4882.528401,-1.30295095,-6.494023024,3.757943586664976
21545.12202040287,-4517.229948,-2538.014206,-4507.981993,-0.79245117,-6.237891198,4.29585385176975
21545.12309604432,-4566.801647,-3103.257026,-4085.489841,-0.273380246,-5.915541758,4.788270849655824
21545.12417174617,-4567.947672,-3635.622859,-3619.528527,0.2487655581001009,-5.530343335,5.229926821534735
21545.12524747962,-4520.635866,-4129.436459,-3115.049524,0.7684357970895827,-5.086348607,5.616077057632578
